time,stapm_value,ppt_limit_fast,ppt_value_fast,ppt_limit_slow,ppt_value_slow,ppt_value_apu
22/02/2025 15:51:03,"2,43",20,"2,723",20,"2,647","2,648"
22/02/2025 15:51:04,"2,431",20,"1,923",20,"2,612","2,612"
22/02/2025 15:51:05,"2,43",20,"2,263",20,"2,554","2,555"
22/02/2025 15:51:06,"2,429",20,"2,065",20,"2,509","2,509"
22/02/2025 15:51:07,"2,429",20,"1,98",20,"2,452","2,452"
22/02/2025 15:51:50,"2,418",20,"2,164",20,"2,191","2,192"
22/02/2025 15:51:51,"2,418",20,"2,068",20,"2,217","2,218"
22/02/2025 15:51:53,"2,419",20,"1,819",20,"2,242","2,244"
22/02/2025 15:51:54,"2,42",20,"2,017",20,"2,324","2,325"
22/02/2025 15:51:55,"2,42",20,"2,086",20,"2,353","2,355"
22/02/2025 15:51:56,"2,42",20,"2,061",20,"2,379","2,38"
22/02/2025 15:51:57,"2,42",20,"1,825",20,"2,343","2,345"
22/02/2025 15:51:58,"2,42",20,"2,272",20,"2,386","2,387"
22/02/2025 15:51:59,"2,421",20,"2,322",20,"2,446","2,447"
22/02/2025 15:52:00,"2,424",20,"2,977",20,"2,589","2,589"
22/02/2025 15:52:01,"2,426",20,"2,177",20,"2,633","2,634"
22/02/2025 15:52:02,"2,427",20,"2,057",20,"2,671","2,672"
22/02/2025 15:52:03,"2,428",20,"2,253",20,"2,703","2,703"
22/02/2025 15:52:04,"2,427",20,"1,781",20,"2,635","2,635"
22/02/2025 15:52:05,"2,428",20,"1,984",20,"2,687","2,687"
22/02/2025 15:52:06,"2,428",20,"1,768",20,"2,612","2,613"
22/02/2025 15:52:07,"2,429",20,"2,109",20,"2,646","2,647"
22/02/2025 15:52:08,"2,428",20,"2,026",20,"2,588","2,588"
22/02/2025 15:52:09,"2,429",20,"1,994",20,"2,639","2,64"
22/02/2025 15:52:10,"2,428",20,"1,812",20,"2,583","2,584"
22/02/2025 15:52:11,"2,428",20,"1,819",20,"2,533","2,534"
22/02/2025 15:52:12,"2,43",20,"1,822",20,"2,618","2,619"
22/02/2025 15:52:13,"2,429",20,"1,824",20,"2,577","2,578"
22/02/2025 15:52:14,"2,431",20,"1,815",20,"2,643","2,644"
22/02/2025 15:52:15,"2,43",20,"1,802",20,"2,576","2,577"
22/02/2025 16:02:46,"2,497",20,"2,7",20,"2,818","2,818"
22/02/2025 16:02:47,"2,496",20,"2,707",20,"2,735","2,735"
22/02/2025 16:02:49,"2,495",20,"2,213",20,"2,668","2,668"
22/02/2025 16:02:50,"2,495",20,"2,012",20,"2,607","2,607"
22/02/2025 16:02:51,"2,494",20,"2,059",20,"2,551","2,551"
22/02/2025 16:02:52,"2,493",20,"2,831",20,"2,498","2,498"
22/02/2025 16:02:53,"2,493",20,"2,391",20,"2,515","2,515"
22/02/2025 16:02:54,"2,493",20,"2,2",20,"2,513","2,513"
22/02/2025 16:02:55,"2,492",20,"2,398",20,"2,457","2,457"
22/02/2025 16:02:56,"2,491",20,"1,933",20,"2,419","2,42"
22/02/2025 16:02:57,"2,491",20,"3,697",20,"2,439","2,44"
22/02/2025 16:02:58,"2,493",20,"2,766",20,"2,549","2,549"
22/02/2025 16:02:59,"2,498",20,"3,071",20,"2,743","2,743"
22/02/2025 16:03:00,"2,5",20,"2,48",20,"2,809","2,809"
22/02/2025 16:03:01,"2,502",20,"3,16",20,"2,885","2,885"
22/02/2025 16:03:02,"2,506",20,"3,338",20,"2,98","2,981"
22/02/2025 16:03:03,"2,51",20,"3,486",20,"3,115","3,116"
22/02/2025 16:03:04,"2,516",20,"3,349",20,"3,296","3,296"
22/02/2025 16:03:05,"2,521",20,"3,235",20,"3,388","3,388"
22/02/2025 16:03:06,"2,526",20,"2,315",20,"3,451","3,451"
22/02/2025 16:03:07,"2,528",20,"3,822",20,"3,42","3,42"
22/02/2025 16:03:08,"2,529",20,"2,374",20,"3,28","3,28"
22/02/2025 16:03:09,"2,529",20,"2,429",20,"3,176","3,176"
22/02/2025 16:03:10,"2,529",20,"2,182",20,"3,081","3,081"
22/02/2025 16:03:11,"2,528",20,"2,091",20,"2,951","2,951"
22/02/2025 16:03:12,"2,528",20,"2,326",20,"2,857","2,857"
22/02/2025 16:03:13,"2,527",20,"1,806",20,"2,763","2,763"
22/02/2025 16:03:14,"2,526",20,"4,087",20,"2,695","2,696"
22/02/2025 16:03:16,"2,526",20,"2,893",20,"2,664","2,664"
22/02/2025 16:03:17,"2,526",20,"1,887",20,"2,67","2,67"
22/02/2025 16:03:22,"2,524",20,"2,113",20,"2,516","2,517"
22/02/2025 16:03:23,"2,523",20,"1,801",20,"2,491","2,493"
22/02/2025 16:03:24,"2,523",20,"1,786",20,"2,47","2,471"
22/02/2025 16:03:25,"2,522",20,"2,057",20,"2,44","2,442"
22/02/2025 16:03:26,"2,522",20,"2,358",20,"2,419","2,42"
22/02/2025 16:03:27,"2,773",20,"1,973",20,"2,625","2,626"
22/02/2025 16:03:28,"2,521",20,"2,086",20,"2,369","2,37"
